R (a.u.),Phase (deg),Uncorrected phase (deg),Noise (a.u.),X (a.u.),Y (a.u.),Sin Harmonic n,Sin Harmonic n+1,Sin Harmonic n+2,Cos Harmonic n,Cos Harmonic n+1,Cos Harmonic n+2,Higher harmonic number n
2053.39865,-12.24354,-0.21369,0.33344,-2006.69368,435.46122,-62.89984,-535.06535,-96.74375,-113.27362,387.38032,-71.38556,2
2053.41374,-12.24583,-0.21373,0.32005,-2006.69231,435.5387,-62.89094,-535.05691,-96.73340,-113.24593,387.46787,-71.36716,2
2053.42196,-12.25671,-0.21392,0.33597,-2006.61713,435.92366,-62.92658,-534.85345,-96.78095,-113.21960,387.79033,-71.30131,2
2053.41961,-12.26817,-0.21412,0.42014,-2006.52633,436.33035,-62.98463,-534.61170,-96.86172,-113.23365,388.11267,-71.25676,2
2053.41535,-12.27619,-0.21426,0.53633,-2006.46043,436.61323,-63.03844,-534.43791,-96.93961,-113.26721,388.33217,-71.23950,2
2053.40472,-12.28307,-0.21438,0.63459,-2006.39708,436.85434,-63.09898,-534.27382,-97.02940,-113.32873,388.50953,-71.24656,2
2053.39522,-12.29109,-0.21452,0.72761,-2006.32668,437.13291,-63.17231,-534.09388,-97.14072,-113.40360,388.72052,-71.25701,2
2053.38541,-12.29682,-0.21462,0.81073,-2006.27459,437.32586,-63.23680,-533.96820,-97.24149,-113.48325,388.86553,-71.28347,2
2053.37023,-12.29567,-0.21460,0.85063,-2006.26973,437.27689,-63.26102,-533.97649,-97.28347,-113.54772,388.81423,-71.33252,2
2053.35184,-12.29739,-0.21463,0.85363,-2006.23811,437.33561,-63.28986,-533.92497,-97.33002,-113.60080,388.85306,-71.36392,2
2053.33248,-12.29166,-0.21453,0.83207,-2006.26142,437.13771,-63.26704,-534.03328,-97.30167,-113.62300,388.69505,-71.41407,2
2053.31067,-12.29109,-0.21452,0.78450,-2006.24709,437.10106,-63.24453,-534.05338,-97.26562,-113.59848,388.67135,-71.40993,2
2053.29292,-12.28708,-0.21445,0.73318,-2006.25865,436.9646,-63.20283,-534.14951,-97.20417,-113.55761,388.58000,-71.40973,2
2053.27191,-12.2825,-0.21437,0.67601,-2006.27505,436.79053,-63.14955,-534.26335,-97.12389,-113.50005,388.45745,-71.39993,2
2053.24677,-12.27562,-0.21425,0.62458,-2006.30327,436.54266,-63.08434,-534.41037,-97.02337,-113.43105,388.26933,-71.38702,2
2053.22206,-12.27849,-0.21430,0.57768,-2006.25431,436.65142,-63.07311,-534.34968,-96.99708,-113.36160,388.36522,-71.31690,2
2053.19855,-12.28651,-0.21444,0.53344,-2006.17023,436.92708,-63.07205,-534.18936,-96.98002,-113.27304,388.59348,-71.21321,2
2053.17547,-12.28479,-0.21441,0.49414,-2006.16274,436.85302,-63.02293,-534.22666,-96.89631,-113.18863,388.53720,-71.16372,2
2053.15644,-12.28078,-0.21434,0.45477,-2006.17521,436.70627,-62.95603,-534.30893,-96.78320,-113.07479,388.42223,-71.09843,2
2053.13948,-12.2739,-0.21422,0.42365,-2006.2113,436.4607,-62.88225,-534.44461,-96.66312,-112.98448,388.22554,-71.06662,2
2053.12668,-12.26703,-0.21410,0.41946,-2006.24836,436.23008,-62.82269,-534.57361,-96.56836,-112.92476,388.04055,-71.05670,2
2053.11871,-12.26817,-0.21412,0.41678,-2006.23355,436.26068,-62.80387,-534.55629,-96.53154,-112.86655,388.06636,-71.00737,2
2053.11744,-12.27333,-0.21421,0.39401,-2006.19428,436.43527,-62.81172,-534.46546,-96.53655,-112.82447,388.21354,-70.95121,2
2053.12062,-12.27104,-0.21417,0.36736,-2006.21513,436.35436,-62.78370,-534.52810,-96.49144,-112.76985,388.15722,-70.91816,2
2053.12848,-12.27046,-0.21416,0.34349,-2006.22645,436.33929,-62.75562,-534.55887,-96.44427,-112.70090,388.15812,-70.86840,2
2053.13629,-12.26531,-0.21407,0.33089,-2006.27166,436.16816,-62.70135,-534.67810,-96.35788,-112.61634,388.03159,-70.82770,2
2053.14172,-12.26302,-0.21403,0.33486,-2006.29586,436.08238,-62.66822,-534.74162,-96.30396,-112.55926,387.97025,-70.79704,2
2053.1415,-12.25843,-0.21395,0.33793,-2006.32884,435.92956,-62.62772,-534.83453,-96.23685,-112.49212,387.84895,-70.76064,2
2053.13921,-12.25442,-0.21388,0.36117,-2006.35831,435.78313,-62.59495,-534.92619,-96.18353,-112.43875,387.73435,-70.73286,2
2053.13159,-12.25156,-0.21383,0.38807,-2006.37119,435.68794,-62.58611,-534.98300,-96.17102,-112.43267,387.65877,-70.73613,2
2053.1199,-12.25557,-0.21390,0.39406,-2006.33032,435.82103,-62.61690,-534.90641,-96.21612,-112.44119,387.76530,-70.71651,2
2053.10459,-12.25786,-0.21394,0.37156,-2006.29616,435.90616,-62.64109,-534.85507,-96.25436,-112.46288,387.83396,-70.71966,2
2053.08601,-12.24984,-0.21380,0.36258,-2006.34271,435.60428,-62.60687,-535.02396,-96.20855,-112.47147,387.59077,-70.76722,2
2053.07314,-12.24411,-0.21370,0.38681,-2006.3727,435.40542,-62.58117,-535.14852,-96.17553,-112.47093,387.44050,-70.79625,2
2053.06045,-12.2401,-0.21363,0.41558,-2006.3898,435.2668,-62.57182,-535.23835,-96.16850,-112.49087,387.33775,-70.83311,2
2053.05046,-12.23437,-0.21353,0.45742,-2006.42349,435.0643,-62.53191,-535.36833,-96.11100,-112.46230,387.18636,-70.84344,2
2053.04406,-12.23208,-0.21349,0.50172,-2006.43425,434.9845,-62.51685,-535.43215,-96.09148,-112.44754,387.13531,-70.84566,2
2053.03882,-12.22864,-0.21343,0.52990,-2006.45597,434.85957,-62.50078,-535.51824,-96.07251,-112.44846,387.04505,-70.86718,2
2053.04111,-12.22234,-0.21332,0.56167,-2006.50551,434.64172,-62.46665,-535.66394,-96.02792,-112.43967,386.88298,-70.89654,2
2053.05503,-12.21832,-0.21325,0.59847,-2006.54904,434.50649,-62.46303,-535.76120,-96.03424,-112.48105,386.78425,-70.95325,2
2053.09299,-12.21832,-0.21325,0.62021,-2006.58858,434.50328,-62.47734,-535.78034,-96.06367,-112.51976,386.78458,-70.98552,2
2053.16428,-12.21947,-0.21327,0.61539,-2006.64935,434.5595,-62.50675,-535.77047,-96.11823,-112.59193,386.82901,-71.04148,2
2053.27306,-12.22864,-0.21343,0.57943,-2006.68413,434.9127,-62.55899,-535.60249,-96.19398,-112.60833,387.10943,-71.00967,2
2053.42037,-12.23093,-0.21347,0.53333,-2006.80969,435.02882,-62.57269,-535.59903,-96.21309,-112.59775,387.20434,-70.99387,2
2053.59688,-12.23437,-0.21353,0.49363,-2006.95958,435.17054,-62.58523,-535.59768,-96.22660,-112.57311,387.32014,-70.96889,2
2047.64579,-12.23437,-0.21353,0.71710,-2001.14022,433.92524,-62.37088,-534.05171,-95.89199,-112.14866,386.19974,-70.69726,2
2000.42402,-12.23379,-0.21352,10.74417,-1954.99814,423.88504,-60.87879,-521.76442,-93.59724,-109.43816,377.25002,-68.98203,2
1918.70089,-12.23265,-0.21350,34.01283,-1875.13691,406.53987,-58.35199,-500.47144,-89.71230,-104.87641,361.80325,-66.10190,2
1814.30077,-12.23208,-0.21349,68.42480,-1773.1125,384.3948,-55.14718,-473.25766,-84.78439,-99.10242,342.08734,-62.45938,2
1696.21184,-12.23093,-0.21347,110.70102,-1657.70928,359.35296,-51.53508,-442.46890,-79.23013,-92.60088,319.79583,-58.35972,2
1571.18128,-12.23036,-0.21346,157.49047,-1535.52134,332.84356,-47.71849,-409.86638,-73.36069,-85.73567,296.20008,-54.03181,2
1444.19439,-12.22978,-0.21345,205.82021,-1411.42092,305.92224,-43.84792,-376.75116,-67.40779,-78.77578,272.23875,-49.64472,2
1318.85866,-12.22864,-0.21343,253.25692,-1288.93366,279.35315,-40.03145,-344.06460,-61.53802,-71.91561,248.59195,-45.32119,2
1197.71044,-12.22749,-0.21341,297.93311,-1170.5385,253.67289,-36.34526,-312.46906,-55.86853,-65.29114,225.73722,-41.14598,2
1082.46003,-12.22692,-0.21340,338.50843,-1057.90688,229.24387,-32.84069,-282.41078,-50.47805,-58.99396,203.99671,-37.17760,2
974.18788,-12.22577,-0.21338,374.10232,-952.09472,206.29513,-29.54998,-254.17156,-45.41607,-53.08177,183.57372,-33.45227,2
